champion,side,picks,wins,losses,winrate
Ahri,Blue,89,55,34,61.79775280898876
Ahri,Red,92,44,48,47.82608695652174
Akali,Blue,59,33,26,55.932203389830505
Akali,Red,71,33,38,46.478873239436616
Anivia,Blue,25,12,13,48.0
Anivia,Red,38,19,19,50.0
Annie,Blue,1,0,1,0.0
Aurelion Sol,Blue,4,3,1,75.0
Aurelion Sol,Red,12,9,3,75.0
Aurora,Blue,56,31,25,55.35714285714286
Aurora,Red,63,28,35,44.44444444444444
Azir,Blue,149,75,74,50.33557046979866
Azir,Red,158,71,87,44.936708860759495
Cassiopeia,Blue,28,13,15,46.42857142857143
Cassiopeia,Red,26,12,14,46.15384615384615
Corki,Blue,2,0,2,0.0
Corki,Red,3,3,0,100.0
Diana,Blue,1,0,1,0.0
Diana,Red,3,2,1,66.66666666666666
Ekko,Blue,5,2,3,40.0
Ekko,Red,5,4,1,80.0
Ezreal,Red,1,0,1,0.0
Fizz,Red,1,0,1,0.0
Galio,Blue,58,35,23,60.3448275862069
Galio,Red,65,27,38,41.53846153846154
Gragas,Blue,1,1,0,100.0
Hwei,Blue,12,6,6,50.0
Hwei,Red,11,3,8,27.27272727272727
Irelia,Blue,1,1,0,100.0
Irelia,Red,5,2,3,40.0
Jayce,Blue,2,1,1,50.0
Jayce,Red,3,2,1,66.66666666666666
Kassadin,Red,7,4,3,57.14285714285714
Kog'Maw,Blue,2,0,2,0.0
Kog'Maw,Red,1,1,0,100.0
LeBlanc,Blue,22,12,10,54.54545454545454
LeBlanc,Red,19,7,12,36.84210526315789
Lissandra,Blue,1,0,1,0.0
Lissandra,Red,1,0,1,0.0
Lucian,Blue,1,0,1,0.0
Lux,Red,2,2,0,100.0
Malzahar,Blue,3,1,2,33.33333333333333
Mel,Blue,17,4,13,23.52941176470588
Mel,Red,16,7,9,43.75
Nasus,Blue,1,0,1,0.0
Neeko,Blue,1,1,0,100.0
Neeko,Red,2,1,1,50.0
Orianna,Blue,179,92,87,51.39664804469274
Orianna,Red,153,82,71,53.59477124183007
Qiyana,Red,2,0,2,0.0
Renekton,Blue,1,0,1,0.0
Rumble,Red,1,0,1,0.0
Ryze,Blue,234,123,111,52.56410256410257
Ryze,Red,176,95,81,53.97727272727273
Sion,Blue,5,3,2,60.0
Sion,Red,4,4,0,100.0
Smolder,Blue,2,0,2,0.0
Swain,Blue,5,3,2,60.0
Swain,Red,8,7,1,87.5
Sylas,Blue,22,15,7,68.18181818181817
Sylas,Red,26,10,16,38.46153846153847
Syndra,Blue,83,36,47,43.373493975903614
Syndra,Red,96,44,52,45.83333333333333
Taliyah,Blue,149,80,69,53.691275167785236
Taliyah,Red,147,63,84,42.857142857142854
Tristana,Blue,3,3,0,100.0
Tristana,Red,4,2,2,50.0
Twisted Fate,Blue,9,5,4,55.55555555555556
Twisted Fate,Red,9,3,6,33.33333333333333
Varus,Blue,4,3,1,75.0
Veigar,Blue,4,2,2,50.0
Veigar,Red,7,3,4,42.857142857142854
Vel'Koz,Red,2,0,2,0.0
Vex,Blue,2,1,1,50.0
Vex,Red,1,1,0,100.0
Viego,Red,1,1,0,100.0
Viktor,Blue,41,16,25,39.02439024390244
Viktor,Red,50,21,29,42.0
Vladimir,Blue,2,1,1,50.0
Vladimir,Red,3,1,2,33.33333333333333
Xerath,Blue,2,0,2,0.0
Xerath,Red,2,1,1,50.0
Yasuo,Blue,4,3,1,75.0
Yasuo,Red,1,1,0,100.0
Yone,Blue,37,18,19,48.64864864864865
Yone,Red,34,14,20,41.17647058823529
Zed,Blue,1,0,1,0.0
Zed,Red,2,1,1,50.0
Ziggs,Blue,6,5,1,83.33333333333334
Ziggs,Red,3,1,2,33.33333333333333
Zilean,Blue,1,0,1,0.0
Zoe,Blue,17,12,5,70.58823529411765
Zoe,Red,16,10,6,62.5
