champion,side,picks,wins,losses,winrate
Alistar,Blue,158,83,75,52.53164556962025
Alistar,Red,152,82,70,53.94736842105263
Amumu,Blue,1,0,1,0.0
Amumu,Red,1,1,0,100.0
Bard,Blue,100,66,34,66.0
Bard,Red,95,42,53,44.21052631578947
Blitzcrank,Blue,7,3,4,42.857142857142854
Blitzcrank,Red,11,7,4,63.63636363636363
Braum,Blue,69,29,40,42.028985507246375
Braum,Red,91,40,51,43.956043956043956
Elise,Blue,4,3,1,75.0
Elise,Red,8,6,2,75.0
Fiddlesticks,Red,1,0,1,0.0
Galio,Blue,2,1,1,50.0
Janna,Red,5,1,4,20.0
Karma,Blue,73,34,39,46.57534246575342
Karma,Red,82,35,47,42.68292682926829
LeBlanc,Red,1,0,1,0.0
Leona,Blue,100,47,53,47.0
Leona,Red,111,50,61,45.04504504504504
Lissandra,Blue,1,1,0,100.0
Lulu,Blue,77,36,41,46.75324675324675
Lulu,Red,81,46,35,56.79012345679012
Lux,Red,1,0,1,0.0
Maokai,Red,1,1,0,100.0
Mel,Red,1,1,0,100.0
Milio,Blue,9,5,4,55.55555555555556
Milio,Red,12,7,5,58.333333333333336
Morgana,Blue,1,1,0,100.0
Nami,Blue,62,32,30,51.61290322580645
Nami,Red,76,37,39,48.68421052631579
Nautilus,Blue,165,81,84,49.09090909090909
Nautilus,Red,159,69,90,43.39622641509434
Neeko,Blue,127,85,42,66.92913385826772
Neeko,Red,114,56,58,49.122807017543856
Nidalee,Blue,1,1,0,100.0
Orianna,Blue,1,0,1,0.0
Pantheon,Blue,3,2,1,66.66666666666666
Pantheon,Red,3,0,3,0.0
Poppy,Blue,26,17,9,65.38461538461539
Poppy,Red,25,13,12,52.0
Pyke,Blue,11,4,7,36.36363636363637
Pyke,Red,7,2,5,28.57142857142857
Rakan,Blue,132,69,63,52.27272727272727
Rakan,Red,120,63,57,52.5
Rell,Blue,122,66,56,54.09836065573771
Rell,Red,106,50,56,47.16981132075472
Renata Glasc,Blue,17,4,13,23.52941176470588
Renata Glasc,Red,17,5,12,29.411764705882355
Senna,Blue,1,0,1,0.0
Senna,Red,2,2,0,100.0
Seraphine,Blue,28,14,14,50.0
Seraphine,Red,25,15,10,60.0
Shen,Blue,1,0,1,0.0
Shen,Red,1,1,0,100.0
Sona,Red,4,1,3,25.0
Soraka,Blue,2,1,1,50.0
Swain,Blue,1,0,1,0.0
Sylas,Blue,1,0,1,0.0
Tahm Kench,Blue,1,0,1,0.0
Tahm Kench,Red,5,1,4,20.0
Taric,Blue,2,0,2,0.0
Taric,Red,3,1,2,33.33333333333333
Thresh,Blue,41,21,20,51.21951219512195
Thresh,Red,29,10,19,34.48275862068966
Yuumi,Blue,3,1,2,33.33333333333333
Yuumi,Red,1,1,0,100.0
Zaahen,Blue,1,0,1,0.0
Zac,Red,1,0,1,0.0
Zyra,Blue,3,0,3,0.0
Zyra,Red,1,0,1,0.0
