champion,side,picks,wins,losses,winrate
Aatrox,Blue,51,21,30,41.17647058823529
Aatrox,Red,54,20,34,37.03703703703704
Akali,Blue,8,4,4,50.0
Akali,Red,4,2,2,50.0
Ambessa,Blue,106,61,45,57.54716981132076
Ambessa,Red,99,50,49,50.505050505050505
Anivia,Red,1,1,0,100.0
Annie,Blue,1,0,1,0.0
Aurora,Blue,18,11,7,61.111111111111114
Aurora,Red,23,12,11,52.17391304347826
Camille,Blue,7,2,5,28.57142857142857
Camille,Red,17,11,6,64.70588235294117
Cassiopeia,Blue,1,1,0,100.0
Cassiopeia,Red,1,1,0,100.0
Cho'Gath,Blue,9,5,4,55.55555555555556
Cho'Gath,Red,6,0,6,0.0
Darius,Blue,3,2,1,66.66666666666666
Darius,Red,7,3,4,42.857142857142854
Dr. Mundo,Blue,11,3,8,27.27272727272727
Dr. Mundo,Red,12,4,8,33.33333333333333
Fiora,Blue,3,2,1,66.66666666666666
Fiora,Red,9,5,4,55.55555555555556
Galio,Blue,7,3,4,42.857142857142854
Galio,Red,11,3,8,27.27272727272727
Gangplank,Red,3,1,2,33.33333333333333
Garen,Red,3,1,2,33.33333333333333
Gnar,Blue,86,45,41,52.32558139534884
Gnar,Red,87,44,43,50.57471264367817
Gragas,Blue,14,9,5,64.28571428571429
Gragas,Red,11,8,3,72.72727272727273
Gwen,Blue,45,24,21,53.333333333333336
Gwen,Red,75,51,24,68.0
Illaoi,Red,1,1,0,100.0
Irelia,Blue,6,4,2,66.66666666666666
Irelia,Red,7,2,5,28.57142857142857
Jax,Blue,36,18,18,50.0
Jax,Red,45,22,23,48.888888888888886
Jayce,Blue,10,5,5,50.0
Jayce,Red,11,5,6,45.45454545454545
K'Sante,Blue,197,90,107,45.68527918781726
K'Sante,Red,177,76,101,42.93785310734463
Karma,Blue,1,0,1,0.0
Kassadin,Red,1,0,1,0.0
Kayle,Blue,1,1,0,100.0
Kayle,Red,4,1,3,25.0
Kennen,Blue,24,10,14,41.66666666666667
Kennen,Red,30,14,16,46.666666666666664
Kled,Blue,2,0,2,0.0
Kled,Red,10,5,5,50.0
Lee Sin,Blue,1,0,1,0.0
Malphite,Blue,7,4,3,57.14285714285714
Malphite,Red,13,6,7,46.15384615384615
Maokai,Blue,1,1,0,100.0
Mordekaiser,Blue,4,1,3,25.0
Mordekaiser,Red,7,1,6,14.285714285714285
Naafiri,Red,1,1,0,100.0
Nasus,Red,3,3,0,100.0
Nidalee,Blue,1,0,1,0.0
Olaf,Blue,6,3,3,50.0
Olaf,Red,12,8,4,66.66666666666666
Ornn,Blue,58,26,32,44.827586206896555
Ornn,Red,54,22,32,40.74074074074074
Pantheon,Blue,2,0,2,0.0
Pantheon,Red,1,1,0,100.0
Poppy,Blue,10,4,6,40.0
Poppy,Red,5,3,2,60.0
Quinn,Red,1,1,0,100.0
Rek'Sai,Blue,27,12,15,44.44444444444444
Rek'Sai,Red,19,10,9,52.63157894736842
Renekton,Blue,118,69,49,58.47457627118644
Renekton,Red,114,56,58,49.122807017543856
Riven,Blue,3,3,0,100.0
Riven,Red,2,1,1,50.0
Rumble,Blue,168,105,63,62.5
Rumble,Red,156,70,86,44.871794871794876
Ryze,Blue,6,2,4,33.33333333333333
Ryze,Red,1,1,0,100.0
Sejuani,Blue,3,1,2,33.33333333333333
Sett,Blue,2,0,2,0.0
Sett,Red,3,2,1,66.66666666666666
Shen,Blue,3,1,2,33.33333333333333
Shen,Red,4,0,4,0.0
Singed,Red,2,1,1,50.0
Sion,Blue,183,97,86,53.00546448087432
Sion,Red,118,59,59,50.0
Smolder,Red,1,0,1,0.0
Swain,Blue,1,1,0,100.0
Swain,Red,1,0,1,0.0
Sylas,Red,2,0,2,0.0
Trundle,Red,2,1,1,50.0
Tryndamere,Blue,1,1,0,100.0
Tryndamere,Red,2,0,2,0.0
Udyr,Blue,1,0,1,0.0
Udyr,Red,3,2,1,66.66666666666666
Urgot,Blue,2,0,2,0.0
Urgot,Red,2,1,1,50.0
Varus,Blue,3,2,1,66.66666666666666
Varus,Red,2,0,2,0.0
Vayne,Blue,2,1,1,50.0
Vayne,Red,7,5,2,71.42857142857143
Vi,Blue,1,0,1,0.0
Vladimir,Blue,3,1,2,33.33333333333333
Vladimir,Red,2,0,2,0.0
Volibear,Blue,7,4,3,57.14285714285714
Volibear,Red,8,3,5,37.5
Yasuo,Blue,5,2,3,40.0
Yasuo,Red,2,1,1,50.0
Yone,Blue,2,0,2,0.0
Yone,Red,6,4,2,66.66666666666666
Yorick,Blue,12,4,8,33.33333333333333
Yorick,Red,26,9,17,34.61538461538461
Zaahen,Blue,64,41,23,64.0625
Zaahen,Red,61,31,30,50.81967213114754
Zac,Red,1,0,1,0.0
