champion,side,picks,wins,losses,winrate
Aphelios,Blue,95,47,48,49.473684210526315
Aphelios,Red,103,50,53,48.54368932038835
Ashe,Blue,30,10,20,33.33333333333333
Ashe,Red,37,19,18,51.35135135135135
Caitlyn,Blue,54,27,27,50.0
Caitlyn,Red,54,28,26,51.85185185185185
Corki,Blue,165,91,74,55.15151515151515
Corki,Red,204,87,117,42.64705882352941
Draven,Blue,2,1,1,50.0
Draven,Red,2,2,0,100.0
Ezreal,Blue,124,71,53,57.25806451612904
Ezreal,Red,120,51,69,42.5
Jhin,Blue,55,34,21,61.81818181818181
Jhin,Red,83,33,50,39.75903614457831
Jinx,Blue,22,8,14,36.36363636363637
Jinx,Red,21,8,13,38.095238095238095
Kai'Sa,Blue,119,72,47,60.50420168067227
Kai'Sa,Red,99,47,52,47.474747474747474
Kalista,Blue,10,3,7,30.0
Kalista,Red,15,6,9,40.0
Kog'Maw,Blue,2,1,1,50.0
Kog'Maw,Red,3,1,2,33.33333333333333
Lucian,Blue,50,23,27,46.0
Lucian,Red,57,27,30,47.368421052631575
Lux,Red,1,0,1,0.0
Mel,Blue,2,2,0,100.0
Mel,Red,5,3,2,60.0
Miss Fortune,Blue,18,9,9,50.0
Miss Fortune,Red,27,13,14,48.148148148148145
Samira,Red,2,0,2,0.0
Senna,Blue,3,2,1,66.66666666666666
Senna,Red,2,1,1,50.0
Seraphine,Blue,2,0,2,0.0
Seraphine,Red,2,1,1,50.0
Sion,Blue,1,0,1,0.0
Sion,Red,1,1,0,100.0
Sivir,Blue,93,38,55,40.86021505376344
Sivir,Red,105,54,51,51.42857142857142
Smolder,Blue,21,8,13,38.095238095238095
Smolder,Red,15,3,12,20.0
Tristana,Blue,12,4,8,33.33333333333333
Tristana,Red,23,9,14,39.130434782608695
Twitch,Blue,1,1,0,100.0
Twitch,Red,1,1,0,100.0
Varus,Blue,194,99,95,51.03092783505154
Varus,Red,95,52,43,54.736842105263165
Vayne,Blue,4,2,2,50.0
Vayne,Red,1,1,0,100.0
Viktor,Blue,1,0,1,0.0
Xayah,Blue,35,16,19,45.714285714285715
Xayah,Red,29,19,10,65.51724137931035
Yasuo,Blue,1,1,0,100.0
Yasuo,Red,1,0,1,0.0
Yunara,Blue,223,127,96,56.95067264573991
Yunara,Red,217,120,97,55.29953917050692
Zeri,Blue,7,6,1,85.71428571428571
Zeri,Red,15,6,9,40.0
Ziggs,Blue,8,4,4,50.0
Ziggs,Red,13,3,10,23.076923076923077
