champion,picks,wins,losses,winrate
Aphelios,198,97,101,48.98989898989899
Ashe,67,29,38,43.28358208955223
Caitlyn,108,55,53,50.92592592592593
Corki,369,178,191,48.23848238482385
Draven,4,3,1,75.0
Ezreal,244,122,122,50.0
Jhin,138,67,71,48.55072463768116
Jinx,43,16,27,37.2093023255814
Kai'Sa,218,119,99,54.58715596330275
Kalista,25,9,16,36.0
Kog'Maw,5,2,3,40.0
Lucian,107,50,57,46.728971962616825
Lux,1,0,1,0.0
Mel,7,5,2,71.42857142857143
Miss Fortune,45,22,23,48.888888888888886
Samira,2,0,2,0.0
Senna,5,3,2,60.0
Seraphine,4,1,3,25.0
Sion,2,1,1,50.0
Sivir,198,92,106,46.464646464646464
Smolder,36,11,25,30.555555555555557
Tristana,35,13,22,37.142857142857146
Twitch,2,2,0,100.0
Varus,289,151,138,52.24913494809689
Vayne,5,3,2,60.0
Viktor,1,0,1,0.0
Xayah,64,35,29,54.6875
Yasuo,2,1,1,50.0
Yunara,440,247,193,56.13636363636364
Zeri,22,12,10,54.54545454545454
Ziggs,21,7,14,33.33333333333333
