champion,picks,wins,losses,winrate
Ahri,181,99,82,54.69613259668509
Akali,130,66,64,50.76923076923077
Anivia,63,31,32,49.2063492063492
Annie,1,0,1,0.0
Aurelion Sol,16,12,4,75.0
Aurora,119,59,60,49.57983193277311
Azir,307,146,161,47.55700325732899
Cassiopeia,54,25,29,46.2962962962963
Corki,5,3,2,60.0
Diana,4,2,2,50.0
Ekko,10,6,4,60.0
Ezreal,1,0,1,0.0
Fizz,1,0,1,0.0
Galio,123,62,61,50.40650406504065
Gragas,1,1,0,100.0
Hwei,23,9,14,39.130434782608695
Irelia,6,3,3,50.0
Jayce,5,3,2,60.0
Kassadin,7,4,3,57.14285714285714
Kog'Maw,3,1,2,33.33333333333333
LeBlanc,41,19,22,46.34146341463415
Lissandra,2,0,2,0.0
Lucian,1,0,1,0.0
Lux,2,2,0,100.0
Malzahar,3,1,2,33.33333333333333
Mel,33,11,22,33.33333333333333
Nasus,1,0,1,0.0
Neeko,3,2,1,66.66666666666666
Orianna,332,174,158,52.40963855421686
Qiyana,2,0,2,0.0
Renekton,1,0,1,0.0
Rumble,1,0,1,0.0
Ryze,410,218,192,53.170731707317074
Sion,9,7,2,77.77777777777779
Smolder,2,0,2,0.0
Swain,13,10,3,76.92307692307693
Sylas,48,25,23,52.083333333333336
Syndra,179,80,99,44.6927374301676
Taliyah,296,143,153,48.310810810810814
Tristana,7,5,2,71.42857142857143
Twisted Fate,18,8,10,44.44444444444444
Varus,4,3,1,75.0
Veigar,11,5,6,45.45454545454545
Vel'Koz,2,0,2,0.0
Vex,3,2,1,66.66666666666666
Viego,1,1,0,100.0
Viktor,91,37,54,40.65934065934066
Vladimir,5,2,3,40.0
Xerath,4,1,3,25.0
Yasuo,5,4,1,80.0
Yone,71,32,39,45.07042253521127
Zed,3,1,2,33.33333333333333
Ziggs,9,6,3,66.66666666666666
Zilean,1,0,1,0.0
Zoe,33,22,11,66.66666666666666
