champion,picks,wins,losses,winrate
Alistar,310,165,145,53.2258064516129
Amumu,2,1,1,50.0
Bard,195,108,87,55.38461538461539
Blitzcrank,18,10,8,55.55555555555556
Braum,160,69,91,43.125
Elise,12,9,3,75.0
Fiddlesticks,1,0,1,0.0
Galio,2,1,1,50.0
Janna,5,1,4,20.0
Karma,155,69,86,44.516129032258064
LeBlanc,1,0,1,0.0
Leona,211,97,114,45.97156398104265
Lissandra,1,1,0,100.0
Lulu,158,82,76,51.89873417721519
Lux,1,0,1,0.0
Maokai,1,1,0,100.0
Mel,1,1,0,100.0
Milio,21,12,9,57.14285714285714
Morgana,1,1,0,100.0
Nami,138,69,69,50.0
Nautilus,324,150,174,46.2962962962963
Neeko,241,141,100,58.50622406639005
Nidalee,1,1,0,100.0
Orianna,1,0,1,0.0
Pantheon,6,2,4,33.33333333333333
Poppy,51,30,21,58.82352941176471
Pyke,18,6,12,33.33333333333333
Rakan,252,132,120,52.38095238095239
Rell,228,116,112,50.877192982456144
Renata Glasc,34,9,25,26.47058823529412
Senna,3,2,1,66.66666666666666
Seraphine,53,29,24,54.71698113207547
Shen,2,1,1,50.0
Sona,4,1,3,25.0
Soraka,2,1,1,50.0
Swain,1,0,1,0.0
Sylas,1,0,1,0.0
Tahm Kench,6,1,5,16.666666666666664
Taric,5,1,4,20.0
Thresh,70,31,39,44.285714285714285
Yuumi,4,2,2,50.0
Zaahen,1,0,1,0.0
Zac,1,0,1,0.0
Zyra,4,0,4,0.0
